city,county,county_pene_rate,dist_sth,dist_sys_voters_pen,dist_voters_indist_est,dist_voters_indist_rate,distcen_hh_indist,in_district,state,sys_census_hh_pene_rate,sys_census_hh_zip_pene,sys_code,sys_media,sys_name,sys_subscribers,sys_type,system_type,zip_census_hh_in_zip,zip_code,zip_l2_voters_in_zip,zone_int
Wynnewood,Montgomery,0.892579,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",5388,19096,9473,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",3422,19102,3193,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",15325,19103,15172,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",18359,19104,34499,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7191,19106,8301,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7709,19107,9506,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",24637,19111,32762,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1,19112,3,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13710,19114,17803,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",14371,19115,18688,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13149,19116,17153,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4651,19118,6561,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",11740,19119,19190,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",22647,19120,34333,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13909,19121,25892,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7131,19122,14898,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7172,19123,9774,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",23363,19124,34755,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",9907,19125,14790,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",6327,19126,10484,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2957,19127,3144,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",16378,19128,21712,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4885,19129,6965,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13808,19130,17326,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",18729,19131,27427,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",14086,19132,26052,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",8893,19133,17185,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",20883,19134,31718,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",12435,19135,16987,9762
Philadelphia,Philadelphia,0.5958521,168,0,0,0,0,N,PA,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",13051,19136,18029,9762
