dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
178,901,Central Bucks County,Effectv,209043,45113,23695.0,185348.0,88.67,11.33
178,3157,Lower Bucks County,Effectv,279112,28588,18362.0,260750.0,93.42,6.58
178,6500,Philadelphia Interconnect,Effectv,5187621,45113,32416.0,5155205.0,99.38,0.62
178,9753,DirecTV- I+ Philadelphia,Effectv,5159779,45113,1988.0,5157791.0,99.96000000000001,0.04
178,9762,DISH- I+ Philadelphia,Effectv,5100659,45113,603.0,5100056.0,99.99,0.01
