dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
114,2138,DISH- I+ Wilkes Barre,Comcast,829321,40915,2634.0,826687.0,99.68,0.32
114,2377,Upper Metro,Comcast,207760,27727,13884.0,193876.0,93.32000000000001,6.68
114,2494,DirecTV- I+ Wilkes Barre,Comcast,829321,40915,6119.0,823202.0,99.26,0.74
114,6772,Tunkhannock,Viamedia,42973,974,213.0,42760.0,99.5,0.5
114,8133,Carbondale,Comcast,55041,12586,5366.0,49675.0,90.25,9.75
114,9166,Wilkes Barre Super Zone,Comcast,864367,40915,16230.0,848137.0,98.11999999999999,1.88
