dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
120,374,Wilkes Barre,Effectv,73449,17737,3804.0,69645.0,94.82000000000001,5.18
120,2138,DISH- I+ Wilkes Barre,Effectv,834924,38000,2613.0,832311.0,99.69,0.31
120,2377,Upper Metro,Effectv,259905,37950,15201.0,244704.0,94.15,5.85
120,2494,DirecTV- I+ Wilkes Barre,Effectv,834401,38000,4325.0,830076.0,99.48,0.52
120,6772,Tunkhannock,Viamedia,63013,249,37.0,62976.0,99.94,0.06
120,9166,Wilkes Barre Super Zone,Effectv,848669,38000,13914.0,834755.0,98.36,1.64
