dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
26,261,Chester County,Effectv,387091,23041,12470.0,374621.0,96.78,3.22
26,264,W Montgomery County,Effectv,223088,20985,11022.0,212066.0,95.06,4.94
26,2130,DISH- I+ HLLY,Effectv,1147312,194,8.0,1147304.0,100.0,0.0
26,2476,DirecTV- I+ HLLY,Effectv,1185815,6148,530.0,1185285.0,99.96000000000001,0.04
26,3523,Central MontCo,Effectv,386580,584,272.0,386308.0,99.92999999999999,0.07
26,5932,Lancaster Metro,Effectv,285355,6224,2907.0,282448.0,98.98,1.02
26,5976,HLLY Interconnect,Effectv,1266676,6457,3714.0,1262962.0,99.71,0.29
26,6500,Philadelphia Interconnect,Effectv,5187621,38792,27874.0,5159747.0,99.46000000000001,0.54
26,8960,Eastern Berks,Viamedia,259915,32169,6687.0,253228.0,97.43,2.57
26,9753,DirecTV- I+ Philadelphia,Effectv,5159779,38792,1710.0,5158069.0,99.97,0.03
26,9762,DISH- I+ Philadelphia,Effectv,5100659,38630,516.0,5100143.0,99.99,0.01
