dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
106,2130,DISH- I+ HLLY,Effectv,1147312,38518,1682.0,1145630.0,99.85000000000001,0.15
106,2476,DirecTV- I+ HLLY,Effectv,1185815,38518,3319.0,1182496.0,99.72,0.28
106,5931,Harrisburg East,Effectv,217578,38518,20370.0,197208.0,90.64,9.36
106,5932,Lancaster Metro,Effectv,285355,1219,569.0,284786.0,99.8,0.2
106,5976,HLLY Interconnect,Effectv,1266676,38518,22157.0,1244519.0,98.25,1.75
