dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
44,272,Pittsburgh,Effectv,375228,2549,715.0,374513.0,99.81,0.19
44,628,North Hills-Fox Chapel,Effectv,212850,12538,4829.0,208021.0,97.72999999999999,2.27
44,630,Sewickley,Effectv,98167,10048,2587.0,95580.0,97.36,2.64
44,638,Greentree-Bridgeville,Effectv,166362,25550,7024.0,159338.0,95.78,4.22
44,1116,Burgettstown,Ad Systems,15435,1776,657.0,14778.0,95.74000000000001,4.26
44,1197,Gibsonia,Viamedia,213781,12492,573.0,213208.0,99.72999999999999,0.27
44,1248,Hopewell-Moon,Effectv,103104,31639,14163.0,88941.0,86.26,13.74
44,2422,DirecTV- I+ Pittsburgh,Effectv,1774540,44272,3431.0,1771109.0,99.81,0.19
44,2456,DISH- I+ Pittsburgh,Effectv,1749856,44272,2011.0,1747845.0,99.89,0.11
44,2662,Mt. Lebanon-Bethel Park,Effectv,290433,20412,4275.0,286158.0,98.53,1.47
44,4936,Canonsburg-South Fayette,Effectv,108369,5948,2007.0,106362.0,98.15,1.85
44,6132,Cranberry-Butler,Effectv,246150,9963,3788.0,242362.0,98.46000000000001,1.54
44,6688,Pittsburgh Interconnect,Effectv,1853587,44272,29506.0,1824081.0,98.41,1.59
