dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
30,628,North Hills-Fox Chapel,Effectv,212850,45032,17344.0,195506.0,91.85,8.15
30,1197,Gibsonia,Viamedia,213781,23658,1085.0,212696.0,99.49,0.51
30,2422,DirecTV- I+ Pittsburgh,Effectv,1774540,45478,3525.0,1771015.0,99.8,0.2
30,2456,DISH- I+ Pittsburgh,Effectv,1749856,45478,2066.0,1747790.0,99.88,0.12
30,4495,AK Valley,Effectv,142666,35727,14067.0,128599.0,90.14,9.86
30,6132,Cranberry-Butler,Effectv,246150,12025,4572.0,241578.0,98.14,1.86
30,6688,Pittsburgh Interconnect,Effectv,1853587,45478,30310.0,1823277.0,98.36,1.64
