dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
50,637,Uniontown,Effectv,112840,23798,4974.0,107866.0,95.59,4.41
50,1290,Washington,Effectv,41991,7808,4272.0,37719.0,89.83,10.17
50,2422,DirecTV- I+ Pittsburgh,Effectv,1774540,28028,2172.0,1772368.0,99.88,0.12
50,2456,DISH- I+ Pittsburgh,Effectv,1749856,28028,1273.0,1748583.0,99.92999999999999,0.07
50,6133,Fay West-California,Effectv,148745,4314,876.0,147869.0,99.41,0.59
50,6688,Pittsburgh Interconnect,Effectv,1853587,27982,18649.0,1834938.0,98.99,1.01
